gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
B4GALNT3,930.0399869139404,0.6449805854697861,0.2705302717726276,6.694283157955957e-4,0.06632404698823756
TMPRSS4,171.44938853228328,0.8060491769455113,0.34559048202639536,6.723109923752629e-4,0.06632404698823756
CHN2,435.18199771822265,-0.749937658625522,0.3214353849465535,6.760009370079184e-4,0.06632404698823756
DKK2,41.4883031335713,1.5837862421090627,0.7059053418471903,6.877330204871593e-4,0.0670981534625014
LOC440910,370.118637619687,-1.3687896055158963,0.6206086875516271,7.116359272957966e-4,0.06904449907940996
HBA2,379.8577177677162,1.1102845681690403,0.4956885391898366,7.292168825263747e-4,0.07035935710740668
LOC122539214,451.1924526558091,-0.9254477580153757,0.41104802704102344,7.397645783186286e-4,0.07091527626563843
VEGFB,383.45356413424867,0.5081582075488372,0.21001852642748975,7.430998371857439e-4,0.07091527626563843
RPL21P119,144.978984940091,0.8651285991997844,0.3823225712123561,7.597766903028047e-4,0.07205369646530305
LRRTM1,46.86773310480334,1.4036608368755858,0.6375784819473285,7.632806828951593e-4,0.07205369646530305
GMPR,1324.6508890722118,0.6506454238655279,0.2808966077767865,7.744088392425032e-4,0.0727111611211348
NAT16,215.02531531230258,0.6195321057729322,0.2663373970643731,7.890276347113825e-4,0.07358351177241168
RPL23A,3176.310709832063,0.6629153802375541,0.2937895083081864,7.921266727676017e-4,0.07358351177241168
ZG16,520.7468195029406,-0.1305260440421027,0.2700157933598033,8.200944329705179e-4,0.07577846125606945
LINC02097,48.42437168636974,-1.1978693520456707,0.5492889241113404,8.257466837859576e-4,0.07589915834546297
RPL14P1,31088.074332072454,0.7537541275604531,0.3360922865793822,8.40780000449262e-4,0.07669325077721115
SYCE3,37.10127574499682,1.1367945169179705,0.520831005009453,8.431690419849142e-4,0.07669325077721115
MBOAT2,2407.020376284729,-0.9671230587315836,0.4405250419422782,8.531153364482721e-4,0.07676088686512422
RPL39,999.935504485275,0.9693128069005102,0.4418282211855717,8.56359037355796e-4,0.07676088686512422
FMO5,446.79011087700786,-0.8120853556588034,0.3676724458131058,8.590850529863179e-4,0.07676088686512422
HGF,1605.1859880069408,0.8507837112062137,0.3853270598932694,8.61494149425352e-4,0.07676088686512422
MME,1759.011435361723,-0.9083311528329593,0.417065873730842,8.671487622181959e-4,0.07687251768212473
TFAP2D,17.530177410935753,1.7906869532183545,0.840745320154611,8.9049840332284e-4,0.07854375815974787
RCAN2,587.1110287561143,0.91938149024053,0.42334203792625935,9.018757507983854e-4,0.0791475282007186
CARMIL2,244.33265133794353,0.5789693386788584,0.2544512963267429,9.270583795616082e-4,0.08095073770331962
MIR3680-1,12.299901715933002,-0.05664796589978361,0.13698878974755838,9.499470610481392e-4,0.08196114142948238
